发货时间,订单号,物流公司,运单号,包裹状态
2025-02-10 16:11:45,250209-110341722503370,中通快递,78481557823812	,转运中
2025-02-10 16:11:44,250210-413138951741059,中通快递,78481557823920	,转运中
2025-02-10 16:11:44,250210-346239865200809,中通快递,78481557975665	,转运中
2025-02-10 16:11:44,250210-098293542440769,中通快递,78481557972809	,转运中
2025-02-10 16:11:44,250209-133253118271549,中通快递,78481557975147	,转运中
2025-02-10 16:11:43,250210-686555185500330,中通快递,78481557972840	,转运中
2025-02-10 16:11:43,250210-570519775620030,中通快递,78481557824622	,转运中
2025-02-10 16:11:43,250210-305471178241922,中通快递,78481557824385	,转运中
2025-02-10 16:11:43,250210-073673030023528,中通快递,78481557972334	,转运中
2025-02-10 16:11:43,250209-230151974523371,中通快递,78481557824038	,转运中
2025-02-10 16:10:22,250210-580040793663457,中通快递,78481557976690	,转运中
2025-02-10 16:10:22,250210-466050096691092,中通快递,78481557825205	,转运中
2025-02-10 16:10:22,250210-423960286782495,中通快递,78481557972148	,转运中
2025-02-10 16:10:22,250210-421947042113796,中通快递,78481557823958	,转运中
2025-02-10 16:10:22,250210-418811778601936,中通快递,78481557976016	,转运中
2025-02-10 16:10:22,250210-197258124831054,中通快递,78481557972296	,转运中
2025-02-10 16:10:22,250209-591323491943372,中通快递,78481557975880	,转运中
2025-02-10 16:10:22,250209-477248919040653,中通快递,78481557972097	,转运中
2025-02-10 16:10:22,250209-151026439801596,中通快递,78481557824252	,转运中
2025-02-10 16:10:22,250209-109010010521767,中通快递,78481557972653	,转运中
2025-02-10 16:10:22,250209-041188072983014,中通快递,78481557972666	,转运中
2025-02-10 16:07:26,250209-434341200270789,中通快递,78481516058404	,转运中
2025-02-10 16:07:25,250210-565769705101238,中通快递,78481516060004	,转运中
2025-02-10 16:07:25,250210-433481326120457,中通快递,78481516058445	,转运中
2025-02-10 16:07:25,250210-350035658282663,中通快递,78481516056774	,转运中
2025-02-10 16:07:25,250210-016578056581638,中通快递,78481516066786	,转运中
2025-02-10 16:07:25,250210-015477010060082,中通快递,78481516084794	,转运中
2025-02-10 16:07:25,250209-674926487971607,中通快递,78481516083729	,转运中
2025-02-10 16:07:25,250209-646971451782914,中通快递,78481516068179	,转运中
2025-02-10 16:07:25,250209-644475840851384,中通快递,78481516056846	,转运中
2025-02-10 16:07:25,250209-597478633061093,中通快递,78481516074826	,转运中
2025-02-10 16:07:25,250209-596692232552776,中通快递,78481516065154	,转运中
2025-02-10 16:07:25,250209-464036893003191,中通快递,78481516058578	,转运中
2025-02-10 16:07:25,250209-432474693224094,中通快递,78481516066321	,转运中
2025-02-10 16:07:25,250209-311238366732922,中通快递,78481516060655	,转运中
2025-02-10 16:07:25,250209-217978038632805,中通快递,78481516066893	,转运中
2025-02-10 16:07:25,250209-214538709350301,中通快递,78481516084128	,转运中
2025-02-10 16:07:25,250209-213657905451466,中通快递,78481516056881	,转运中
2025-02-10 16:07:25,250209-204073920890525,中通快递,78481516084687	,转运中
2025-02-10 16:07:25,250209-109398004093742,中通快递,78481516084513	,转运中
2025-02-10 16:07:25,250209-051527094700558,中通快递,78481516082146	,转运中
2025-02-10 16:07:25,250209-048958021190244,中通快递,78481516082286	,转运中
2025-02-10 16:07:24,250210-681794618920725,中通快递,78481516081675	,转运中
2025-02-10 16:07:24,250210-658694510221046,中通快递,78481516067981	,已派件
2025-02-10 16:07:24,250210-541463713401147,中通快递,78481516058629	,转运中
2025-02-10 16:07:24,250210-444491436333591,中通快递,78481516085272	,转运中
2025-02-10 16:07:24,250210-295079779964053,中通快递,78481516058394	,转运中
2025-02-10 16:07:24,250210-022869492151227,中通快递,78481516058751	,转运中
2025-02-10 16:07:24,250209-661599034902832,中通快递,78481516068266	,转运中
2025-02-10 16:07:24,250209-591239585303582,中通快递,78481516058836	,转运中
2025-02-10 16:07:24,250209-481233549642845,中通快递,78481516083466	,转运中
2025-02-10 16:07:24,250209-398301632023995,中通快递,78481516057012	,已揽件
2025-02-10 16:07:24,250209-359766433320498,中通快递,78481516083703	,转运中
2025-02-10 16:07:24,250209-342307715401497,中通快递,78481516066653	,转运中
2025-02-10 16:07:24,250209-298466680430083,中通快递,78481516068429	,转运中
2025-02-10 16:07:24,250209-291808295343316,中通快递,78481516074953	,转运中
2025-02-10 16:07:24,250209-257928742523732,中通快递,78481516082090	,已派件
2025-02-10 16:07:24,250209-180439038282713,中通快递,78481516083877	,转运中
2025-02-10 16:07:24,250209-097999941203487,中通快递,78481516058631	,转运中
2025-02-10 16:07:24,250209-074071478632448,中通快递,78481516057117	,转运中
2025-02-10 16:07:24,250209-062883152313935,中通快递,78481516057477	,转运中
2025-02-10 16:07:24,250209-033921451520750,中通快递,78481516066214	,转运中
2025-02-10 16:05:44,250210-384376542853107,中通快递,78481516068472	,转运中
2025-02-10 16:05:44,250210-001279291013107,中通快递,78481516068472	,转运中
2025-02-10 16:05:13,250210-602690076980559,中通快递,78481516059852	,转运中
2025-02-10 16:05:13,250210-423593296212903,中通快递,78481516058685	,转运中
2025-02-10 16:05:13,250210-350035710303638,中通快递,78481516066799	,转运中
2025-02-10 16:05:13,250210-273500106310651,中通快递,78481516082220	,已派件
2025-02-10 16:05:13,250210-088457879053621,中通快递,78481516068245	,转运中
2025-02-10 16:05:13,250210-051181054292903,中通快递,78481516058685	,转运中
2025-02-10 16:05:13,250209-618418747702947,中通快递,78481516084450	,转运中
2025-02-10 16:05:13,250209-524434850102947,中通快递,78481516084450	,转运中
2025-02-10 16:05:13,250209-360322209391774,中通快递,78481516084866	,转运中
2025-02-10 16:05:13,250209-299232140861157,中通快递,78481516068457	,转运中
2025-02-10 16:05:13,250209-016724825711774,中通快递,78481516084866	,转运中
2025-02-10 16:04:51,250210-591459796612699,中通快递,78481516084051	,转运中
2025-02-10 16:04:51,250210-432736899481229,中通快递,78481516068460	,转运中
2025-02-10 16:04:51,250210-389231429200060,中通快递,78481516064913	,转运中
2025-02-10 16:04:51,250210-329525521942015,中通快递,78481516057079	,转运中
2025-02-10 16:04:51,250210-292647125411299,中通快递,78481516066546	,转运中
2025-02-10 16:04:51,250210-184140439132019,中通快递,78481516058259	,转运中
2025-02-10 16:04:51,250210-004173350502120,中通快递,78481516058792	,转运中
2025-02-10 16:04:51,250209-644821829270212,中通快递,78481516066347	,转运中
2025-02-10 16:04:51,250209-485983588793633,中通快递,78481516084582	,转运中
2025-02-10 16:04:51,250209-405463437732552,中通快递,78481516056879	,转运中
2025-02-10 16:04:51,250209-181036664382902,中通快递,78481516058195	,转运中
2025-02-10 16:04:50,250210-666107911813599,中通快递,78481516082100	,转运中
2025-02-10 16:04:50,250210-541988043093926,中通快递,78481516083520	,已派件
2025-02-10 16:04:50,250210-522421584233479,中通快递,78481516066242	,转运中
2025-02-10 16:04:50,250210-464907159171104,中通快递,78481516065050	,转运中
2025-02-10 16:04:50,250210-379689408071341,中通快递,78481516082061	,转运中
2025-02-10 16:04:50,250210-334716004721888,中通快递,78481516066426	,转运中
2025-02-10 16:04:50,250210-106734621091991,中通快递,78481516059944	,转运中
2025-02-10 16:04:50,250210-064057577910368,中通快递,78481516064967	,转运中
2025-02-10 16:04:50,250209-654280026423289,中通快递,78481516065126	,转运中
2025-02-10 16:04:50,250209-569230016851867,中通快递,78481516058616	,转运中
2025-02-10 16:04:50,250209-530548037232723,中通快递,78481516082112	,转运中
2025-02-10 16:04:50,250209-470307377564072,中通快递,78481516066526	,转运中
2025-02-10 16:04:50,250209-416179884321669,中通快递,78481516058603	,转运中
2025-02-10 16:04:50,250209-204734544280980,中通快递,78481516084496	,转运中
2025-02-10 16:04:49,250210-207659998780173,中通快递,78481516068324	,转运中
2025-02-10 16:04:49,250210-118153593262173,中通快递,78481516058749	,转运中
